Tipo;Cor;Pigmento;Quant OP (kg)
Ecomax;Piscina do Abais;Amarelo Oxido;0,0016
Ecomax;Piscina do Abais;Verde;0,0029
Ecomax;Piscina do Abais;Amarelo Limpo;0,0009
Ecomax;Piscina do Abais;Azul;0,001766
Ecomax;Rosa das Flores;Vermelho Limpo;0,001037
Ecomax;Sertao;Vermelho Limpo;0,00007
Ecomax;Sertao;Amarelo Limpo;0,00073
Ecomax;Sertao;Amarelo Oxido;0,007626
Textura Acrílica;Branco Gelo;Preto;0,000019
Textura Acrílica;Branco Gelo;Amarelo Oxido;0,000006
Craqueado Classic;Raposa Negra;Preto;0,000179
Craqueado Classic;Raposa Negra;Pasta de Titânio;0,007128
Textura Acrílica;Bucarest Cheio;Preto;0,0000296
Textura Acrílica;Bucarest Cheio;Amarelo Oxido;0,002518
Textura Acrílica;Bucarest Cheio;Vermelho Oxido;0,001037
Colorflex;Cali Claro;Preto;0,000222
Colorflex;Cali Claro;Vermelho Oxido;0,000847
Colorflex;Cali Claro;Amarelo Oxido;0,013862
Colorflex;Cali Claro;Amarelo Limpo;0,000265
Texturato Mathi;Bege Verdadeiro;Preto;0,000024186
Texturato Mathi;Bege Verdadeiro;Amarelo Oxido;0,000162
Texturato Mathi;Bege Verdadeiro;Vermelho Oxido;0,000049
Craqueado Classic;Rede Preguiçosa;Preto;0,000067
Craqueado Classic;Rede Preguiçosa;Amarelo Oxido;0,00072
Craqueado Classic;Rede Preguiçosa;Vermelho Oxido;0,00016
Colorflex;Cali Minimo;Preto;0,000032
Colorflex;Cali Minimo;Vermelho Oxido;0,000197
Colorflex;Cali Minimo;Amarelo Oxido;0,0035
Colorflex;Cali Minimo;Amarelo Limpo;0,0004
Colorpiso;Azul Socorro;Azul;0,002679
Colorpiso;Azul Socorro;Preto;0,000019
Colorpiso;Azul Socorro;Vermelho Oxido;0,000006
Cimento Queimado;Concreto;Preto;0,000248
Cimento Queimado;Concreto;Amarelo Oxido;0,001513
